Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 14
Kernel:linear | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 15
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 16
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 44.74% | channel: ['E118']| count: 17
Kernel:rbf | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 18
Kernel:rbf | Gamma:0.0001 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 19
Kernel:sigmoid | Gamma:1 e C:10 | Accuracy: 44.74% | channel: ['E118']| count: 20
Kernel:linear | Gamma:1 e C:100 | Accuracy: 44.74% | channel: ['E118']| count: 21
Kernel:rbf | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E118']| count: 22
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 23
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 44.74% | channel: ['E118']| count: 24
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 42.11% | channel: ['E118']| count: 25
Kernel:linear | Gamma:1 e C:100 | Accuracy: 42.11% | channel: ['E118']| count: 26
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E118']| count: 27
Kernel:linear | Gamma:1 e C:10 | Accuracy: 42.11% | channel: ['E118']| count: 28
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 42.11% | channel: ['E118']| count: 29

Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 1
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 47.37% | channel: ['E119']| count: 2
Kernel:linear | Gamma:1e-06 e C:10 | Accuracy: 50.00% | channel: ['E119']| count: 3
Kernel:linear | Gamma:0.1 e C:10 | Accuracy: 44.74% | channel: ['E119']| count: 4
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 5
Kernel:rbf | Gamma:0.1 e C:10 | Accuracy: 44.74% | channel: ['E119']| count: 6
Kernel:rbf | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 7
Kernel:linear | Gamma:10 e C:1000 | Accuracy: 42.11% | channel: ['E119']| count: 8
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 9
Kernel:linear | Gamma:1e-06 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 10
Kernel:poly | Gamma:10 e C:1000 | Accuracy: 42.11% | channel: ['E119']| count: 11
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 12
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 44.74% | channel: ['E119']| count: 13
Kernel:linear | Gamma:10 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 14
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 15
Kernel:linear | Gamma:0.001 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 16
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 17
Kernel:linear | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E119']| count: 18
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 44.74% | channel: ['E119']| count: 19
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 47.37% | channel: ['E119']| count: 20
Kernel:linear | Gamma:0.01 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 21
Kernel:linear | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E119']| count: 22
Kernel:linear | Gamma:1e-06 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 23
Kernel:linear | Gamma:1 e C:1 | Accuracy: 42.11% | channel: ['E119']| count: 24
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 47.37% | channel: ['E119']| count: 25
Kernel:linear | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 26
Kernel:linear | Gamma:1 e C:10 | Accuracy: 42.11% | channel: ['E119']| count: 27
Kernel:linear | Gamma:1e-06 e C:1 | Accuracy: 42.11% | channel: ['E119']| count: 28


Kernel:linear | Gamma:0.1 e C:10 | Accuracy: 44.74% | channel: ['E121']| count: 1
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E121']| count: 2

Kernel:linear | Gamma:10 e C:1000 | Accuracy: 42.11% | channel: ['E122']| count: 1

Kernel:sigmoid | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E123']| count: 1
Kernel:sigmoid | Gamma:1 e C:100 | Accuracy: 42.11% | channel: ['E123']| count: 2
Kernel:linear | Gamma:1e-06 e C:100 | Accuracy: 44.74% | channel: ['E123']| count: 3
Kernel:sigmoid | Gamma:1 e C:100 | Accuracy: 44.74% | channel: ['E123']| count: 4

Kernel:linear | Gamma:10 e C:1000 | Accuracy: 42.11% | channel: ['E124']| count: 1
Kernel:linear | Gamma:0.0001 e C:1000 | Accuracy: 42.11% | channel: ['E124']| count: 2
Kernel:sigmoid | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E124']| count: 3
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E124']| count: 4
Kernel:rbf | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E124']| count: 5
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 44.74% | channel: ['E124']| count: 6

Kernel:rbf | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E125']| count: 1
Kernel:linear | Gamma:0.001 e C:1000 | Accuracy: 47.37% | channel: ['E125']| count: 2
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E125']| count: 3
Kernel:linear | Gamma:1e-06 e C:10 | Accuracy: 52.63% | channel: ['E125']| count: 4
Kernel:linear | Gamma:0.0001 e C:1000 | Accuracy: 42.11% | channel: ['E125']| count: 5
Kernel:linear | Gamma:1e-05 e C:1 | Accuracy: 42.11% | channel: ['E125']| count: 6
Kernel:linear | Gamma:10 e C:10 | Accuracy: 42.11% | channel: ['E125']| count: 7
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 44.74% | channel: ['E125']| count: 8
Kernel:linear | Gamma:0.1 e C:10 | Accuracy: 44.74% | channel: ['E125']| count: 9
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 44.74% | channel: ['E125']| count: 10
Kernel:sigmoid | Gamma:0.1 e C:10 | Accuracy: 42.11% | channel: ['E125']| count: 11
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E125']| count: 12
Kernel:sigmoid | Gamma:0.001 e C:1 | Accuracy: 42.11% | channel: ['E125']| count: 13
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 44.74% | channel: ['E125']| count: 14
Kernel:linear | Gamma:10 e C:1000 | Accuracy: 47.37% | channel: ['E125']| count: 15
Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E125']| count: 16
Kernel:poly | Gamma:1 e C:10 | Accuracy: 42.11% | channel: ['E125']| count: 17

Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E126']| count: 1
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 2
Kernel:linear | Gamma:0.0001 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 3
Kernel:linear | Gamma:1e-05 e C:1 | Accuracy: 42.11% | channel: ['E126']| count: 4
Kernel:linear | Gamma:10 e C:10 | Accuracy: 44.74% | channel: ['E126']| count: 5
